assumed_quantum_runtime,assumed_classical_runtime,meaningful_domain_max,name,speedup_coarse,description,meaningful_domain,meaningful_domain_min
2**(0.241n),2**(0.291n),,Subset-sum,Polynomial,"Given a list of integers \\( x_1,\\ldots,x_n \\), and\na target integer <i>s</i>, the subset-sum problem is to determine\nwhether the sum of any subset of the given integers adds up\nto <i>s</i>. This problem is NP-complete, and therefore is unlikely to\nbe solvable by classical or quantum algorithms with polynomial\nworst-case complexity. In the hard instances the given integers\nare of order \\( 2^n \\). In [<a href=""#BJLM13"">178</a>], a quantum\nalgorithm is given that solves this problem in time \\( 2^{0.241n} \\),\nup to polynomial factors. This quantum algorithm works by applying a\nvariant of Ambainis\'s quantum walk algorithm for element-distinctness\n[<a href=""#Ambainis_distinctness"">7</a>]to speed up a sophisticated\nclassical algorithm for this problem due to Howgrave-Graham and\nJoux. The fastest known classical algorithm for subset-sum runs in time\n\\( 2^{0.291n} \\), up to polynomial factors.",,
,,,Decoding,Varies,"Classical error correcting codes allow the\ndetection and correction of bit-flips by storing data\nreduntantly. Maximum-likelihood decoding for arbitrary linear codes is\nNP-complete in the worst case, but for structured codes or bounded\nerror efficient decoding algorithms are known. Quantum algorithms have\nbeen formulated to speed up the decoding of convolutional codes\n[<a href=""#GM14"">238</a>] and simplex codes\n[<a href=""#BZ98"">239</a>].",,
,,,Constraint Satisfaction,Polynomial,"Constraint satisfaction problems, many of which\nare NP-hard, are ubiquitous in computer science, a canonical example\nbeing 3-SAT. If one wishes to satisfy as many constraints as possible\nrather than all of them, these become combinatorial optimization\nproblems. (See also <a href=""#adiabiatic"">adiabatic algorithms</a>.) The brute force\nsolution to constraint satisfaction problems can be quadratically sped\nup using Grover\'s algorithm. However, most constaint satisfaction\nproblems are solvable by classical algorithms that (although still\nexponential-time) run more than quadratically faster than brute force\nchecking of all possible solutions. Nevertheless, a polynomial quantum\nspeedup over the fastest known classical algorithm for 3-SAT is given\nin [<a href=""#Ambainis_SIGACT"">133</a>], and polynomial quantum\nspeedups for some other constraint satisfaction problems are given in\n[<a href=""#CGF"">134</a>, <a href=""#MGAG15"">298</a>]. A commonly used classical algorithm for\nconstraint satisfaction is backtracking, and for some problems this\nalgorithm is the fastest known. A general quantum speedup for\nbacktracking algorithms is given in [<a href=""#M15a"">264</a>].",,
,,,Quantum Cryptanalysis,Various,"It is well-known that Shor\'s algorithms for\nfactoring and discrete logarithms\n[<a href=""#Shor_factoring"">82</a>,<a href=""#Shor_factoring94"">125</a>]\ncompletely break the RSA and Diffie-Hellman cryptosystems, as well as\ntheir elliptic-curve-based variants [<a href=""#Zalka_ellip"">109</a>, <a href=""#BL95"">14</a>]. \n(A number of ""post-quantum"" public-key cryptosystems have been proposed to replace these\nprimitives, which are not known to be broken by quantum attacks.)\nBeyond Shor\'s algorithm, there is a growing body of work on quantum\nalgorithms specifically designed to attack cryptosystems. These\ngenerally fall into three categories. The first is quantum algorithms\nproviding polynomial or sub-exponential time attacks on cryptosystems\nunder standard assumptions. In particular, the algorithm of Childs,\nJao, and Soukharev for finding isogenies of elliptic curves breaks\ncertain elliptic curve based cryptosystems in subexponential time\nthat were not already broken by Shor\'s algorithm\n[<a href=""#CJS14"">283</a>]. The second category is quantum algorithms\nachieving polynomial improvement over known classical cryptanalytic\nattacks by speeding up parts of these classical algorithms using\nGrover search, quantum collision finding, etc. Such attacks \non private-key [<a href=""#GLRS15"">284</a>, <a href=""#AMGMPS16"">285</a>, <a href=""#K14"">288</a>, <a href=""#BHT98b"">315</a>, <a href=""#B09"">316</a>] \nand public-key [<a href=""#LMP13"">262</a>, <a href=""#F15"">287</a>] primitives, do not\npreclude the use of the associated cryptosystems but may influence\nchoice of key size. The third category is attacks that make use of quantum \nsuperposition queries to block ciphers. These attacks in many cases completely\nbreak the cryptographic primitives [<a href=""#KLLNP16"">286</a>, <a href=""#KM10"">289</a>, \n<a href=""#KM12"">290</a>, <a href=""#RS13"">291</a>, <a href=""#SS16"">292</a>].\nHowever, in most practical situations such superposition queries are \nunlikely to be feasible.\n\n\n<hr />\n\n<a name=""oracular""></a>\n<h2>Oracular Algorithms</h2>\n\",,
O( sqrt(N)),O(N),,Searching,Polynomial,"We are given an oracle with <i>N</i>\n allowed inputs. For one input <i>w</i> (""the winner"") the corresponding output is\n 1, and for all other inputs the corresponding output is 0. The task is to find \n <i>w</i>. On a classical computer this requires \\(  \\Omega(N) \\)\n queries. The quantum algorithm of Lov Grover achieves this using\n \\( O(\\sqrt{N}) \\) queries [<a href=""#Grover_search"">48</a>], which is\n optimal [<a href=""#BBBV"">216</a>]. This has algorithm has\n subsequently been generalized to search in the presence of multiple\n ""winners"" [<a href=""#BBHT98"">15</a>], evaluate the sum of an arbitrary\n function [<a href=""#BBHT98"">15</a>,<a href=""#BHT98"">16</a>,<a href=""#Mos98"">73</a>],\n find the global minimum of an arbitrary function \n [<a href=""#DH96"">35</a>,<a href=""#NW99"">75</a>, <a href=""#KLPF08"">255</a>], take advantage of alternative\n initial states [<a href=""#Biham"">100</a>] or nonuniform probabilistic priors\n [<a href=""#Montanaro"">123</a>], work with oracles whose runtime varies \n between inputs [<a href=""#Ambainis_linear"">138</a>], approximate \n definite integrals [<a href=""#integration"">77</a>], and converge to a\n fixed-point\n [<a href=""#G05"">208</a>, <a href=""#TGP05"">209</a>]. The\n generalization of Grover\'s algorithm known as amplitude estimation\n [<a href=""#Amplitude"">17</a>]\n is now an important primitive in quantum algorithms. Amplitude estimation forms the\n core of most known quantum algorithms related to collision finding and graph \n properties. One of the natural applications for Grover search is speeding up the \n solution to NP-complete problems such as 3-SAT. Doing so is nontrivial, because \n the best classical algorithm for 3-SAT is not quite a brute force search. Nevertheless,\n amplitude amplification enables a quadratic quantum speedup over the best\n classical 3-SAT algorithm, as shown in [<a href=""#Ambainis_SIGACT"">133</a>]. Quadratic\n speedups for other constraint satisfaction problems are obtained in \n [<a href=""#CGF"">134</a>]. For further examples of application of\n Grover search and amplitude amplification see\n [<a href=""#C14"">261</a>, <a href=""#LMP13"">262</a>]. A problem closely\n related to, but harder than, Grover search, is spatial search, in\n which database queries are limited by some graph structure. On\n sufficiently well-connected graphs, \\(O(\\sqrt{n})\\) quantum query\n complexity is still achievable [<a href=""#CG04"">274</a>,<a href=""#CNAO15"">275</a>,<a href=""#Wong16"">303</a>,\n<a href=""#JMW14"">304</a>, <a href=""#MW14"">305</a>, <a href=""#Wong15"">306</a>, <a href=""#HK16"">330</a>].\n",,
O( log abs( n )),O(abs(n)),,Abelian Hidden Subgroup,Superpolynomial,"Let <i>G</i> be a finitely generated Abelian group, and let\n <i>H</i> be some subgroup of <i>G</i> such that <i>G/H</i> is finite. Let <i>f</i>\n be a function on <i>G</i> such that for any \\( g_1,g_2 \\in G \\), \\( f(g_1) = f(g_2) \\)\n if and only if \\( g_1 \\) and \\( g_2 \\) are in the same coset of <i>H</i>. The task is\n to find <i>H</i> (<i>i.e.</i> find a set of generators for <i>H</i>) by making queries\n to <i>f</i>. This is solvable on a quantum computer using \\( O(\\log \\vert G\\vert) \\)\n queries, whereas classically \\( \\Omega(|G|) \\) are required. This algorithm was first\n formulated in full generality by Boneh and Lipton in [<a href=""#BL95"">14</a>]. However,\n proper attribution of this algorithm is difficult because, as described in chapter 5 of \n [<a href=""#Nielsen_Chuang"">76</a>], it subsumes many historically important quantum\n algorithms as special cases, including Simon\'s algorithm [<a href=""#Simon"">108</a>], \n which was the inspiration for Shor\'s period finding algorithm, which forms the core \n of his factoring and discrete-log algorithms. The Abelian hidden subgroup algorithm \n is also at the core of the Pell\'s equation, principal ideal, unit group, and class \n group algorithms. In certain instances, the Abelian hidden subgroup problem can be\n solved using a single query rather than order \\( \\log(\\vert G\\vert) \\), as shown\n in [<a href=""#Beaudrap"">30</a>]. It is normally assumed in period finding that the\n function \\(f(x) \\neq f(y) \\) unless \\( x-y = s \\), where \\( s \\) is the period.\n A quantum algorithm which applies even when this restiction is relaxed is given in \n [<a href=""#Hales_Hallgren"">388</a>]. Period finding has been generalized to apply to \n oracles which provide only the few most significant bits about the underlying \n function in [<a href=""#SW07"">389</a>].\n",,
O( log(abs(n)),O(abs(n)),,Non-Abelian Hidden Subgroup,Superpolynomial,"Let <i>G</i> be a finitely generated group, and let <i>H</i> be\n some subgroup of <i>G</i> that has finitely many left cosets. Let <i>f</i> be a \n function on <i>G</i> such that for any \\( g_1, g_2 \\), \\( f(g_1) = f(g_2) \\)\n if and only if \\( g_1 \\) and \\( g_2 \\) are in the same left coset of <i>H</i>.\n The task is to find <i>H</i> (<i>i.e.</i> find a set of generators for <i>H</i>)\n by making queries to <i>f</i>. This is solvable on a quantum computer using \n \\( O(\\log(|G|) \\) queries, whereas classically \\( \\Omega(|G|) \\)\n are required [<a href=""#Ettinger"">37</a>,<a href=""#Hallgren_Russell"">51</a>].\n However, this does not qualify as an efficient quantum algorithm because in general,\n it may take exponential time to process the quantum states obtained from these \n queries. Efficient quantum algorithms for the hidden subgroup problem are known for\n certain specific non-Abelian groups \n[<a href=""#RB_NAHS"">81</a>,<a href=""#IMS_NAHS"">55</a>,<a href=""#MRRS_NAHS"">72</a>,<a href=""#IlG_NAHS"">53</a>,<a href=""#BCvD_NAHS"">9</a>,<a href=""#CKL_NAHS"">22</a>,<a href=""#ISS_NAHS"">56</a>,<a href=""#CP_NAHS"">71</a>,<a href=""#ISS2_NAHS"">57</a>,<a href=""#FIMSS_NAHS"">43</a>,<a href=""#G_NAHS"">44</a>,<a href=""#CvD_NAHS"">28</a>,<a href=""#DMR_NAHS"">126</a>,<a href=""#W_NAHS"">207</a>,<a href=""#NAHS_BVZ"">273</a>]. \n A slightly outdated survey is given in [<a href=""#Survey_NAHS"">69</a>]. Of \n particular interest are the symmetric group and the dihedral group. A solution \n for the symmetric group would solve graph isomorphism. A solution for the \n dihedral group would solve certain lattice problems [<a href=""#Regev_lattice"">78</a>].\n Despite much effort, no polynomial-time solution for these groups is known, except in\n special cases [<a href=""#Roet16"">312</a>]. However, \n Kuperberg [<a href=""#Kuperberg"">66</a>] found a time \\( 2^{O( \\sqrt{\\log N})}) \\)\n algorithm for finding a hidden subgroup of the dihedral group \\( D_N \\). Regev \n subsequently improved this algorithm so that it uses not only subexponential time \n but also polynomial space [<a href=""#Regev_dihedral"">79</a>]. A\n further improvement in the asymptotic scaling of the required number\n of qubits is obtained in [<a href=""#K13"">218</a>]. Quantum query speedups (though\n not necessarily efficient quantum algorithms in terms of gate count) for\n somewhat more general problems of testing for isomorphisms of functions under sets of \n permutations are given in [<a href=""#HM15"">311</a>]\n",,
,,,Bernstein-Vazirani,"Polynomial Directly, Superpolynomial Recursively","We are given an oracle whose input is <i>n</i>\n bits and whose output is one bit. Given input \\( x \\in \\{0,1\\}^n \\), the output is \n \\( x \\odot h \\), where <i>h</i> is the ""hidden"" string of <i>n</i> bits, and \n \\( \\odot \\) denotes the bitwise inner product modulo 2. The task is to find <i>h</i>.\n On a classical computer this requires <i>n</i> queries. As shown by Bernstein and \n Vazirani [<a href=""#Bernstein_Vazirani"">11</a>], this can be achieved on a quantum \n computer using a single query. Furthermore, one can construct recursive versions of\n this problem, called recursive Fourier sampling, such that quantum computers require\n exponentially fewer queries than classical computers \n [<a href=""#Bernstein_Vazirani"">11</a>]. See \n [<a href=""#HH08"">256</a>, <a href=""#BH10"">257</a>] for related work\non the ubiquity of quantum speedups from generic quantum circuits and\n[<a href=""#AA14"">258</a>, <a href=""#ABK15"">270</a>] for related work on a quantum query speedup\nfor detecting correlations between the an oracle function and the\nFourier transform of another.\n",,
,,,Deutsch-Jozsa,"Exponential over P, none over BPP","We are given an oracle whose input is <i>n</i> bits and whose output\n is one bit. We are promised that out of the \\( 2^n \\) possible inputs, either all of them,\n none of them, or half of them yield output 1. The task is to distinguish the balanced case\n (half of all inputs yield output 1) from the constant case (all or none of the inputs yield\n output 1). It was shown by Deutsch [<a href=""#Deutsch"">32</a>] that for <i>n=1</i>, this\n can be solved on a quantum computer using one query, whereas any deterministic classical \n algorithm requires two. This was historically the first well-defined quantum algorithm \n achieving a speedup over classical computation. (A related, more recent, pedagogical \n example is given in [<a href=""#G14"">259</a>].) A single-query quantum algorithm for \n arbitrary <i>n</i> was developed by Deutsch and Jozsa in [<a href=""#Deutsch_Jozsa"">33</a>].\n Although probabilistically easy to solve with <i>O(1)</i> queries, the Deutsch-Jozsa problem\n has exponential worst case deterministic query complexity classically.\n",,
"O( min (N, sqrt(S),N**(1/2) n**(1/4) ))",O(2**(0.753n)),,Formula Evaluation,Polynomial,"A Boolean expression is called a formula if each variable is used only\n once. A formula corresponds to a circuit with no fanout, which consequently has the topology\n of a tree. By Reichardt\'s span-program formalism, it is now known \n [<a href=""#Reichardt_Reflection"">158</a>] that the quantum query complexity of any formula\n of <i>O</i>(1) fanin on <i>N</i> variables is \\( \\Theta(\\sqrt{N}) \\).\n This result culminates from a long line of work\n [<a href=""#Childs_Jordan"">27</a>,<a href=""#ragged"">8</a>,<a href=""#Reichardt_Spalek"">80</a>,<a href=""#Reichardt_Unbalanced"">159</a>,<a href=""#Reichardt_Faster"">160</a>], \n which started with the discovery by Farhi <i>et al.</i> [<a href=""#Farhi_NAND"">38</a>]\n that NAND trees on \\( 2^n \\) variables can be evaluated on quantum computers in time\n \\( O(2^{0.5n}) \\) using a continuous-time quantum walk, whereas classical computers\n require \\( \\Omega(2^{0.753n}) \\) queries. In many cases, the quantum formula-evaluation \n algorithms are efficient not only in query complexity but also in time-complexity. The \n span-program formalism also yields quantum query complexity lower bounds\n [<a href=""#Reichardt2010"">149</a>]. Although originally discovered from a different point of \n view, Grover\'s algorithm can be regarded as a special case of formula evaluation in which \n every gate is OR. The quantum complexity of evaluating non-boolean formulas has also been\n studied [<a href=""#Cleve_tree"">29</a>], but is not as fully understood. Childs <i>et al.</i> \n have generalized to the case in which input variables may be repeated (<i>i.e.</i> the first \n layer of the circuit may include fanout) [<a href=""#Childs_Kimmel_Kothari"">101</a>]. They \n obtained a quantum algorithm using \\( O(\\min \\{N,\\sqrt{S},N^{1/2} G^{1/4} \\}) \\)\n queries, where <i>N</i> is the number of input variables not including multiplicities,\n <i>S</i> is the number of inputs counting multiplicities, and <i>G</i> is the number of\n gates in the formula. References [<a href=""#Zhan_Kimmel_Hassidim"">164</a>],\n [<a href=""#Kimmel"">165</a>], and  [<a href=""#JK15"">269</a>] consider\n special cases of the NAND tree problem in which the  number of NAND\n gates taking unequal inputs is limited. Some of these cases yield\n superpolynomial separation between quantum and classical query\n complexity.\n",,
O(n),O(n**2),,"Gradients, Structured Search, and Learning Polynomials",Polynomial,"Suppose we are given a oracle for computing some smooth function\n \\( f:\\mathbb{R}^d \\to \\mathbb{R} \\). The inputs and outputs to <i>f</i> are given to \n the oracle with finitely many bits of precision. The task is to estimate \\( \\nabla f \\)\n at some specified point \\( \\mathbf{x}_0 \\in \\mathbb{R}^d \\). As shown in \n [<a href=""#Jordan_gradient"">61</a>], a quantum computer can achieve this using one query,\n whereas a classical computer needs at least <i>d+1</i> queries. In [<a href=""#Bulger"">20</a>],\n Bulger suggested potential applications for optimization problems. As shown in appendix D\n of [<a href=""#mythesis"">62</a>], a quantum computer can use the gradient algorithm to find\n the minimum of a quadratic form in <i>d</i> dimensions using <i>O(d)</i> queries, whereas,\n as shown in [<a href=""#Yao"">94</a>], a classical computer needs at least \\( \\Omega(d^2) \\)\n queries. Single query quantum algorithms for finding the minima of basins based on Hamming \n distance were given in\n [<a href=""#Hogg"">147</a>,<a href=""#Hunziker_Meyer"">148</a>,<a href=""#MP09"">223</a>].\n The quantum algorithm of [<a href=""#mythesis"">62</a>] can also extract all \\( d^2 \\)\n matrix elements of the quadratic form using <i>O(d)</i> queries, and  more generally, all\n \\( d^n \\) <i>n</i>th derivatives of a smooth function of <i>d</i> variables in \\( O(d^{n-1}) \\)\n queries. As shown in [<a href=""#Roetteler_quad"">130</a>,<a href=""#Montanaro_polynomials"">146</a>],\n quadratic forms and multilinear polynomials in <i>d</i> variables over a finite field may \n be extracted with a factor of <i>d</i> fewer quantum queries than are required classically.\n",,
